product,date,actual,predicted,abs_error,unit_price,strategic_logic
ButterCreamBread,2026-06-25,0,0,0,7.5,"The prediction of 0 waste was primarily based on the strong temperature and humidity match of the 2026-05-16 row (0 waste) and the weather match of the 2026-06-23 row (0 waste); CaryHigh_ Status did not show a clear correlation with waste, and BOGO deals in Shift_Notes were excluded as tomorrow has no such promotion."
ChestnutPanBread,2026-06-25,0,0,0,7.5,"The prediction is primarily driven by tracker rows 2026-05-16 (exact temperature match, NO_STUDENT_DAY, no BOGO, waste 0) and 2026-06-23 (exact weather description match, NO_STUDENT_DAY, no BOGO, waste 0); CaryHigh_ Status showed no consistent correlation with higher waste for this item on non-BOGO days; Shift_Notes indicating BOGO deals were discounted for tomorrow's forecast, and the high waste count of 2 on 2026-06-18 was down-weighted due to the specific ""Absolutely dead in terms of foot traffic"" note."
ChocoCreamDonut,2026-06-25,5,0,5,4.5,"The prediction was driven by tracker row 2026-05-16, which had a perfect temperature match (88/84 degrees Fahrenheit), 'NO_STUDENT_DAY' status, and no BOGO deals or adverse shift notes; CaryHigh_ Status showed no significant correlation with waste for this item when BOGO days were excluded; BOGO deals were discounted, and adverse Shift_Notes like ""Absolutely dead in terms of foot traffic"" or ""Light, sporadic rain"" on other high-waste days were considered absent for tomorrow, suggesting a lower waste outcome."
ChocoFilledCookie,2026-06-25,0,0,0,3.25,"The prediction was primarily driven by all six tracker rows (1, 3, 4, 17, 18, 20) matching tomorrow's 'NO_STUDENT_DAY' status and absence of BOGO deals, which consistently resulted in zero waste; 'CaryHigh_ Status' correlated strongly with zero waste for this item on all 'NO_STUDENT_DAY's without BOGO deals, and 'Shift_Notes' describing BOGO deals were discounted as tomorrow has no such promotion."
CreamCheeseTart,2026-06-25,13,0,13,3.5,"The prediction of 0 waste is primarily driven by multiple tracker rows matching tomorrow's NO_STUDENT_DAY status and similar weather conditions, especially 2026-05-16 (exact temperature match) which all showed 0 waste; NO_STUDENT_DAY consistently correlates with 0 waste for this item; and the 2026-06-13 row showing 6 waste was discounted as its BOGO deal for CreamCheeseTart artificially suppressed waste."
CurryCroquette,2026-06-25,0,0,0,3.5,"The prediction of 0 waste is primarily driven by rows 2026-05-16 (exact temperature match), 2026-06-18 (closest humidity), and 2026-06-23 (exact weather match), all of which showed 0 waste; CaryHigh_ Status as NO_STUDENT_DAY historically led to mixed waste outcomes for this item, and Shift_Notes indicating BOGO deals on croquettes were discounted as tomorrow has no such deal."
CustardCreamSoboro,2026-06-25,6,0,6,3.6,"The prediction of 0 waste is based on multiple `NO_STUDENT_DAY` tracker rows (e.g., 2026-05-16, 2026-06-18, 2026-06-23) that align with tomorrow's weather, temperature, and humidity, consistently showing 0 waste without BOGO deals; `NO_STUDENT_DAY` status significantly correlated with lower, often 0, waste for this item compared to 'OPEN' days, and the absence of BOGO deals for tomorrow meant prioritizing these direct comparisons over artificially suppressed BOGO waste counts."
JalapenoCheeseCroissant,2026-06-25,0,0,0,4.25,"The prediction of zero waste was driven by multiple 'NO_STUDENT_DAY' rows (2026-05-16, 2026-06-18, 2026-06-23) that closely matched tomorrow's temperature, humidity, or weather conditions without BOGO deals, as 'NO_STUDENT_DAY' did not consistently correlate with a specific waste pattern, and BOGO promotions were discounted since tomorrow has no deal."
KimchiCroquette,2026-06-25,0,19,19,3.5,"The prediction is primarily driven by the 2026-06-13 tracker row, which recorded 19 units wasted despite a BOGO deal on Kimchi Croquette under similar high temperature and humidity on a NO_STUDENT_DAY, indicating critically low underlying demand. The NO_STUDENT_DAY status correlates with all high waste occurrences for this item, and the absence of a BOGO deal tomorrow further supports a high waste estimate."
MangoCreamDonut,2026-06-25,0,0,0,4.5,"The prediction is based on the 2026-05-16 row, which offers an exact temperature match (88/84 degrees Fahrenheit), matching NO_STUDENT_DAY status, and absence of BOGO deal, alongside very similar weather (Scattered Clouds vs. Partly Sunny); CaryHigh_ Status showed consistently low waste (mostly 0) for this item on both NO_STUDENT_DAY and OPEN days without BOGO deals; Shift_Notes indicating BOGO deals were discounted for tomorrow's no-deal scenario, further reinforcing the prediction from non-BOGO days."
MilkCreamBread,2026-06-25,7,0,7,3.5,"The prediction is driven by two closest non-BOGO matches on NO_STUDENT_DAY: 2026-05-16 (exact temperature, close humidity, similar weather) and 2026-06-18 (very close humidity, similar weather), both showing 0 waste; CaryHigh_ Status showed no clear sensitivity for this item as both statuses had frequent 0 waste, and Shift_Notes indicating BOGO deals were discounted since tomorrow has no such promotion, redirecting focus to non-promotional results."
MontBlancPastry,2026-06-25,0,1,1,6.0,"The prediction is primarily driven by the 2026-06-23 shift, which matched tomorrow's 'Partly Sunny' weather, 'NO_STUDENT_DAY' status, and absence of BOGO deal, resulting in 1 waste; while 'NO_STUDENT_DAY' shifts generally correlated with slightly lower waste, the 2026-05-31 BOGO day also showed 1 waste under 'Partly Sunny' and 'NO_STUDENT_DAY' conditions, implying similar or higher waste without the deal."
MorningBread,2026-06-25,0,0,0,6.75,"The prediction of 0 is primarily driven by the closest historical match (2026-05-16), which shared exact temperature (88/84), similar weather (Scattered Clouds vs Partly Sunny), and the same NO_STUDENT_DAY status as tomorrow. CaryHigh_ Status for NO_STUDENT_DAY showed varied waste counts, but the instances of non-zero waste were consistently noted in Shift_Notes as ""Absolutely dead in terms of foot traffic,"" a condition not indicated for tomorrow, and all BOGO deal rows were discounted."
PlusMilkRoll,2026-06-25,1,0,1,6.5,"The prediction is driven by rows 2026-05-16 and 2026-06-23, which most closely matched tomorrow's temperature, weather, and 'NO_STUDENT_DAY' status without BOGO deals, both consistently showing zero waste; 'CaryHigh_ Status' correlated with zero waste for this item on all 'NO_STUDENT_DAY' entries without BOGO, and 'Shift_Notes' indicating BOGO deals were discounted as they artificially suppress waste and are absent tomorrow."
